"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_AMT8","FS_AMT8_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_DATE8","FS_D_TE8","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
72482,.,"A",.,"A",.,"A",85,"D",.,"D","1","2","D","01","D",.,"A","8","D",0,"D","11","D",,"A",,"A",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",6612,"D",6612,"D",41581.574,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.06906,"D",.,"A",.,"A",0,"D",.,"B",.,"B",.,"B",.,"B",.,"A","5","D",0,"D",6612,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",6612,"D",0,"D",1,"D",0,"D","01",,"A","1",.,"A",,"A","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","02","07","1997",.,"A","1","D",.,"A",.,"A","2","D",1,.,"A","1","D",,"A",0,"D",.,"A",.,"A",91246.571,76697.605,.,.,84051.931,.,.,82707.624,93001.522,.,84104.066,.,88882.62,75632.149,.,.,.,97084.361,.,.,.,.,.,84001.94,90122.434,77413.947,.,85587.357,.,.,.,79467.686,78382.748,91585.237,86762.046,79673.242,.,77645.287,78274.668,82983.245,.,.,73089.092,.,11.74,11.74,0,8.54,0,0,0,0,0,0,0,0,2.28,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","02","36","D",.,"A",.,"A",.,"A","1","D"
72712,.,"A",.,"A",.,"A",30,"D",41,"D","1","4","D","01","D",.,"A","2","D",0,"D","14","D","15","D","1","D","1","D",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",23627.191,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",30,"D",40,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",.,"A","1","D",2,"D",0,"D",.,"A","17","D","1","D","1","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","03","05","D","2",.,"A","1","D",,"B","1","D","4","D","2","D",.,"A",.,"A","2","D","1","D","1",.,"A",.,"A",,"07","1997",.,"A",,"A",.,"A",.,"A","2","D",1,.,"A",,"A",,"A",17,"D",52,"D",.,"A",.,39040.149,.,.,41225.114,50061.281,44794.741,.,42573.204,42768.725,49811.466,50269.235,53453.032,.,.,.,37413.34,.,45348.463,63624.544,57572.076,.,.,.,.,.,50899.198,.,.,.,49240.451,43622.337,.,50539.843,.,39080.342,48414.706,.,42341.418,64183.766,.,.,50215.645,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","08","D",.,"A",.,"A",.,"A",,"A"
72942,.,"A",.,"A",.,"A",44,"D",45,"D","1","1","D","01","D",.,"A","2","D",75000,"D","12","D","12","D","1","D","1","D",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",75000,"D",75000,"D",32851.9,0,"D",5738,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",75000,"D",20,"D",45,"D",0.8690692,"D",.,"A",.,"A",0,"D",270,"D",62,"D",326,"D",75,"D",.,"A","1","D",2,"D",0,"D",252,"D","03","D","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","03","D","2",.,"A","1","D","2","D","1","D","4","D","1","D",.,"A",.,"A","2","D","1","D","1",.,"A",.,"A","02","07","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",72433.853,66378.383,.,69592.833,64739.37,.,.,.,60498.802,.,.,.,.,.,73262.997,67152.493,61327.825,.,65695.441,.,.,.,69101.975,65260.774,58843.005,67759.978,69867.674,.,63306.135,62735.819,63256.053,.,.,66132.269,.,69576.119,.,.,66405.408,.,.,60538.811,62186.634,.,178,149.99999,7.02717,14.37855,7.33248,18.32767,5.11045,5.50183,14.89489,1.55168,2.47191,8.62102,4.9853,6.3298,4.79287,6.454,2.40736,15.65364,3.42593,20.73344,28.00001,0,0,0,0,0,0,0,1,"D",.,"A","0","D","09","53","D",.,"A",.,"A",.,"A","2","D"
72972,.,"A",.,"A",.,"A",28,"D",.,"D","1","4","D","01","D",.,"A","1","D",0,"D","15","D",,"A","1","D",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",43736.074,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",60,"D",.,"A",.,"A",.,"A",.,"A",0,"D",109,"D",25,"D",130,"D",30,"D",.,"A","5","D",1,"D",0,"D",.,"A",,"A","2","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","01","D","1",.,"A",,"A","2","D","1","D","3","D","2","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","05","07","1997",.,"A",,"A",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,80128.455,.,102373.714,93023.638,90119.309,.,.,.,.,.,86231.009,.,.,.,95694.539,75927.275,.,88892.932,.,92350.324,86421.184,.,71155.524,87683.052,.,.,87390.908,.,86494.103,.,.,93895.797,94910.257,79385.442,.,86031.277,89944.306,81508.849,89346.418,89473.313,.,.,.,51.19,21.19,2.12,3.71,0,0,5.3,4.23,0,0,1.59,0,0,4.24,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","48","D",.,"A",.,"A",.,"A",,"A"
73372,.,"A",.,"A",.,"A",76,"D",62,"D","1","2","D","01","D",.,"A","5","D",0,"D","12","D","12","D",,"A","1","D",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",526,"D",526,"D",30911.865,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",526,"D",0,"D",0,"D",0,"D",.,"A",20,"D",.,"A",.,"A",.,"A",0,"D",217,"D",50,"D",261,"D",60,"D",.,"A","1","D",1,"D",526,"D",.,"A","12","D","4","D","1","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",1,"D",0,"D","01",,"A","3",.,"A","1","D","2","D","1","D","1","D","2","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","06","07","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A","1","D",,"A",0,"D",50,"D",.,"A",69005.547,67520.049,.,.,57961.251,.,57565.307,.,.,64590.222,.,.,65261.706,49671.107,.,59951.824,.,77790.772,54406.091,.,.,.,67873.18,.,.,.,.,.,57721.881,65204.013,56781.326,.,48709.511,.,.,.,49727.164,58610.093,58471.069,60306.481,60351.438,.,67987.285,54542.295,28.39,10.89,0,0.99,0,0,0,0,0,0,2.29,0,4.33,3.28,0,0,0,0,0,0,17.5,5.25001,18.37,0,0,0,0,0,1,"D",.,"A","0","D","10","25","D",.,"A",.,"A",.,"A",,"A"
73422,535,"D",.,"A",79,"D",63,"D",57,"D","1","2","D","01","D",.,"A","1","D",4500,"D","12","D","12","D","1","D",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",19014,"D",19628,"D",45570.105,0,"D",344,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",11328,"D",0,"D",0,"D",4500,"D",30,"D",.,"A",0.3191093,"D",.,"A",500,"D",0,"D",435,"D",100,"D",544,"D",125,"D",.,"A","1","D",1,"D",15128,"D",.,"A",,"A","1","D","1","D",.,"A",0,"D",.,"A",3300,"D",.,"A",0,"D",0,"D",614,"D","01","10","D","3",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","03","07","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A","2","D",50,"D",0,"D",.,"A",100471.226,.,.,.,.,.,90858.028,101453.591,95177.78,.,86159.857,.,.,.,92675.488,93807.865,90087.21,105109.986,81358.188,.,88548.87,88815.849,108848.962,.,.,84435.35,.,83733.749,.,.,97987.497,.,.,79596.932,81124.832,.,74576.82,.,85664.021,79716.509,.,.,.,86656.911,128.85997,97.12998,3.11,13.22,0,0,0,2.95,0,0,8.42,3.94,1.23,3.38,6.06533,8.08467,10.5,18.42999,1.78,16.01999,31.72999,5.36,8.9,0,0,9,15.25,31.28998,1,"D",.,"A","0","D","04","22","D",.,"A",.,"A",.,"A","2","D"
74192,60675,"T",.,"A",9917,"T",65,"D",.,"D","1","1","D","01","D",3000,"D","1","D",139899,"T","17","D",,"A","1","D",,"A",1,"D","8","D",20000,"D",,"A",.,"A",0,"D",0,"D",0,"D",213699,"T",284292,"T",33720.319,5000,"D",7991,"T",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",3900,"D",0,"D",0,"D",119899,"T",55,"D",.,"A",0.9994464,"D",.,"A",3000,"D",0,"D",435,"D",100,"D",652,"D",150,"D",.,"A","3","D",1,"D",144393,"T",.,"A",,"A","1","D",,"A",95724,"T",0,"D",.,"A",.,"A",.,"A",0,"D",1,"D",70592,"T","01","03","D","1",.,"A",,"A","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","06","07","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",66371.879,.,67432.474,.,.,67088.423,.,.,72742.527,76571.111,.,66153.919,.,73015.251,61866.894,.,.,.,86402.328,.,.,.,.,.,72065.28,58250.928,71322.683,.,70267.015,.,.,.,77120.269,74275.572,67981.895,65037.689,68152.93,.,70122.91,71604.282,74015.999,.,.,73042.383,163.4801,78.42,0,13.32,0,6.71,0,0,0,0,1.4,14.08,12.39,17.98,4.25,0,0,0,0,8.29,85.0601,111.30991,0,0,0,0,0,0,1,"D",.,"A","0","D","09","36","D",.,"A",38769,"T",.,"A","2","D"
74392,800,"D",.,"A",.,"A",72,"D",57,"D","1","2","D","01","D",.,"A","3","D",46600,"D","10","D","15","D","1","D","1","D",3,"D","4","D",0,"D",,"A",.,"A",0,"D",5920,"D",0,"D",52446,"D",63606,"D",39976.891,0,"D",3565,"D",1300,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",10486,"D",1480,"D",0,"D",46600,"D",20,"D",40,"D",0.8238245,"D",.,"A",20,"D",0,"D",761,"D",175,"D",1522,"D",350,"D",.,"A","1","D",3,"D",17006,"D",200,"D","02","D","1","D","4","D",.,"A",0,"D",.,"A",.,"A",6500,"D",0,"D",1,"D",11160,"D","01","10","D","1",.,"A","1","D","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",40,"D","05","07","1997",3000,"D","1","D",.,"A",2,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",.,89192.618,.,78438.248,69653.871,.,70410.356,84388.854,.,.,86823.158,.,82949.302,.,.,83137.906,84385.545,85552.579,.,73389.69,75866.297,92951.003,82464.312,103511.283,.,.,.,84133.911,.,82354.388,74393.723,95879.187,.,.,.,.,.,79897.637,.,.,.,89124.987,88178.734,.,214.32,128.42,3.84206,17.87789,5.09,5.09463,9.23234,20.493,0,1.7,1.94837,11.43,4.98161,1.38345,6.05039,0,1.76454,12.98255,6.10033,18.44884,85.9,0,26.75,0,13.15,13,0,11.14999,1,"D",.,"A","7","D","08","34","D",.,"A",.,"A",.,"A","2","D"
74412,.,"A",.,"A",.,"A",71,"D",74,"D","2","2","D","05","D",.,"A","1","D",0,"D","12","D","12","D","1","D",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",1052,"D",1052,"D",36411.542,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",1052,"D",0,"D",0,"D",0,"D",40,"D",.,"A",.,"A",.,"A",.,"B",0,"D",109,"D",25,"D",130,"D",30,"D",.,"A","1","D",1,"D",1052,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"B",0,"D",2,"D",0,"D","01","03","D","5",.,"A","1","D","2","D","1","D","3","D","2","D",.,"A",.,"A","2","D","1","D","2",.,"A",.,"A","03","07","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A",,"A","1","D",52,"D",0,"D",.,"A",.,72017.655,.,70496.091,54237.446,59612.288,59720.753,82858.236,.,.,.,79384.658,.,58355.068,65253.505,67154.536,.,.,.,.,.,90553.851,.,.,.,73431.99,92642.829,.,80782.351,.,65822.015,67161.942,.,77003.436,78293.002,.,.,60767.477,.,67955.36,.,.,65736.712,68228.207,60.00998,46.41998,3.33,0,0,0,0,6.45,0,0,0,0,9.75999,3.73,4.46999,0,0,9.91,0,8.77,13.59,0,0,0,0,5,0,19.25999,1,"D",.,"A","0","D","10",,"T",.,"A",.,"A",.,"A",,"A"
74562,.,"A",.,"A",.,"A",51,"D",45,"D","1","1","D","01","D",.,"A","2","D",93612,"D","17","D","16","D","1","D","1","D",3,"D","3","D",0,"D",,"A",150,"D",0,"D",10907,"D",0,"D",77799,"D",94062,"D",33759.484,0,"D",7161,"D",18722,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",4706,"D",0,"D",93612,"D",40,"D",40,"D",0.9270233,"D",.,"A",450,"D",0,"D",326,"D",75,"D",370,"D",85,"D",.,"A","1","D",2,"D",450,"D",.,"A","03","D","1","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",16263,"D","01","03","D","4",.,"A","1","D","2","D","1","D","4","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",1000,"D","02","07","1997",1800,"D","1","D",.,"A",2,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",68464.302,69965.896,61242.364,.,68323.636,.,68975.989,65433.971,.,.,.,61274.684,.,.,.,.,.,73809.761,64780.665,61151.74,.,68549.073,.,.,.,73803.402,60970.064,72872.803,61199.542,56168.85,.,62230.118,73842.021,72121.021,.,.,71069.511,.,62409.878,.,.,64087.252,.,.,144.91998,91.21998,1.25999,7.26,0,3.51,8.31999,12.08,0,4.19,4.21,14.51,3.63,5.87,15.15,0,3.48,7.75,0,0,53.7,0,0,0,0,0,0,9.29,1,"D",.,"A","5","D","09","49","D",.,"A",.,"A",.,"A","2","D"
