"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
147241,.,"A",.,"A",.,"A",48,"D",.,"D","1","4","D","01","D",.,"A","4","D",54000,"D","12","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",.,"C",0,"D",0,"D",0,"D",54050,"D",54050,"D",45206.136,0,"D",4131,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",54000,"D",25,"D",.,"A",0.7523724,"D",.,"A",50,"D",0,"D",174,"D",40,"D",261,"D",60,"D",.,"A","3","D",2,"D",50,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","04","D","1",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"C","12","07","1998",.,"A",,"A",.,"A",.,"A","1","D",2,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,.,.,78582.526,87024.709,.,101489.926,.,110725.921,85658.504,.,86402.327,78897.108,.,.,67657.811,.,80422.393,.,.,85102.246,95532.245,80459.66,.,88280.146,104785.982,84179.37,93898.487,76437.673,.,.,.,97466.722,.,74570.804,92652.74,91302.597,.,.,.,.,.,88688.395,83.21999,29.26999,0,3.62,12.75,0,0,0,0,3.02,0,0,2.53,2.01,2.28,0,0,1.04999,0,2.01,53.95,12.72,20.35,14.14,11.12,0,2.53,6.02,1,"D",.,"A","0","D","08","17","D",.,"A",.,"A",.,"A","2","D"
147242,.,"A",.,"A",.,"A",48,"D",.,"D","1","4","D","01","D",.,"A","4","D",54000,"D","12","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",.,"C",0,"D",0,"D",0,"D",54050,"D",54050,"D",45206.136,0,"D",4131,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",54000,"D",25,"D",.,"A",0.752956,"D",.,"A",50,"D",0,"D",174,"D",40,"D",261,"D",60,"D",.,"A","3","D",2,"D",50,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","04","D","1",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"C","19","07","1998",.,"A",,"A",.,"A",.,"A","2","D",2,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,.,.,78582.526,87024.709,.,101489.926,.,110725.921,85658.504,.,86402.327,78897.108,.,.,67657.811,.,80422.393,.,.,85102.246,95532.245,80459.66,.,88280.146,104785.982,84179.37,93898.487,76437.673,.,.,.,97466.722,.,74570.804,92652.74,91302.597,.,.,.,.,.,88688.395,91.35999,67.25999,6.7,6.46,5.7,3.37999,10.11,3.54,1.69,0,2.81,4.79,1.52,0,5.37,0,0,10.58,0,4.61,24.1,12.72,5.08,8.08,0,0,0,2,1,"D",.,"A","0","D","08","17","D",.,"A",.,"A",.,"A","2","D"
147251,.,"A",.,"A",135,"D",54,"D",51,"D","1","1","D","01","D",.,"A","6","D",23000,"D","12","D","12","D",,"A","3","D",3,"D","4","D",0,"D",,"A",.,"C",0,"D",0,"D",0,"D",32177,"D",32312,"D",36936.894,2600,"D",1760,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",3312,"D",0,"D",0,"D",23000,"D",.,"A",38,"D",0.5316612,"D",.,"A",.,"C",0,"D",.,"B",.,"B",283,"D",65,"D",.,"A","1","D",2,"D",9312,"D",264,"D","04","D","1","D","1","D",.,"A",1000,"D",.,"A",.,"A",3600,"D",0,"D",0,"D",135,"D","01",,"A","1",1000,"D","1","D","2","D","1","D","2","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","01","10","1998",.,"A","1","D",2400,"D",3,"D","1","D",2,.,"A","4","D",,"A",0,"D",52,"D",.,"A",85878.335,60576.9,66463.77,66627.937,.,.,68194.098,.,59445.501,.,.,83852.584,.,.,74748.764,75300.521,.,57607.989,.,95004.969,66832.936,.,.,.,55838.708,.,.,.,.,.,63408.516,77815.066,80126.506,.,67492.901,.,.,.,80181.383,79211.834,63266.965,75927.101,84986.484,.,163.81994,120.40994,20.71032,7.87964,0,10.5,0,3.14999,22.91,0,2.7,14.3,0,4.66,0,0,7.43,17.19,2.09,6.88999,43.41,38.82,0,0,36.60207,0,7.34,9.64792,1,"D",.,"A","7","D","06","18","D",.,"A",.,"A",.,"A","2","D"
147252,.,"A",.,"A",135,"D",54,"D",51,"D","1","1","D","01","D",.,"A","6","D",23000,"D","12","D","12","D",,"A","3","D",3,"D","4","D",0,"D",,"A",.,"C",0,"D",0,"D",0,"D",32177,"D",32312,"D",36936.894,2600,"D",1760,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",3312,"D",0,"D",0,"D",23000,"D",.,"A",38,"D",0.5321381,"D",.,"A",.,"C",0,"D",.,"B",.,"B",283,"D",65,"D",.,"A","1","D",2,"D",9312,"D",264,"D","04","D","1","D","1","D",.,"A",1000,"D",.,"A",.,"A",3600,"D",0,"D",0,"D",135,"D","01",,"A","1",1000,"D","1","D","2","D","1","D","2","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","08","10","1998",.,"A","1","D",2400,"D",3,"D","2","D",2,.,"A","4","D",,"A",0,"D",52,"D",.,"A",85878.335,60576.9,66463.77,66627.937,.,.,68194.098,.,59445.501,.,.,83852.584,.,.,74748.764,75300.521,.,57607.989,.,95004.969,66832.936,.,.,.,55838.708,.,.,.,.,.,63408.516,77815.066,80126.506,.,67492.901,.,.,.,80181.383,79211.834,63266.965,75927.101,84986.484,.,60.62996,41.62995,5.38,0.3,0,6.76996,2.1,0,0,0,0,11.88,0.57,0,0,1.25,3.32,10.05999,0,0,19.00001,27.3,0,0,0,0,0,4.17999,1,"D",.,"A","7","D","06","18","D",.,"A",.,"A",.,"A","2","D"
147261,.,"C",.,"A",.,"A",55,"D",53,"D","1","1","D","01","D",.,"A","3","D",60000,"D","12","D","12","D","1","D","1","D",3,"D","4","D",0,"D",,"A",300,"D",0,"D",9400,"D",0,"D",47233,"D",60000,"D",51766.153,0,"D",4590,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3667,"D",0,"D",60000,"D",40,"D",40,"D",0.792936,"D",.,"A",.,"C",0,"D",565,"D",130,"D",783,"D",180,"D",.,"A","1","D",3,"D",0,"D",.,"C","07","D","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",12767,"D","01","11","D","3",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","19","09","1998",.,"A","1","D",.,"A",3,"D","1","D",2,.,"A",,"A",,"A",52,"D",52,"D",.,"A",.,115861.465,103745.402,122697.687,.,.,.,113833.018,.,107005.503,99940.137,133360.325,.,.,.,.,.,94287.395,.,.,.,82024.402,115159.951,.,94219.787,.,105268.176,99913.691,.,122557.478,98622.373,.,.,100370.668,.,102794.952,.,.,107186.889,112638.791,101681.594,.,104722.693,121292.325,165.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.00001,0,0,0,0,0,0,0,1,"D",.,"A","7","D","08","40","D",.,"A",.,"A",.,"A","2","D"
147262,.,"C",.,"A",.,"A",55,"D",53,"D","1","1","D","01","D",.,"A","3","D",60000,"D","12","D","12","D","1","D","1","D",3,"D","4","D",0,"D",,"A",300,"D",0,"D",9400,"D",0,"D",47233,"D",60000,"D",51766.153,0,"D",4590,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3667,"D",0,"D",60000,"D",40,"D",40,"D",0.7936043,"D",.,"A",.,"C",0,"D",565,"D",130,"D",783,"D",180,"D",.,"A","1","D",3,"D",0,"D",.,"C","07","D","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",12767,"D","01","11","D","3",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","26","09","1998",.,"A","1","D",.,"A",3,"D","2","D",2,.,"A",,"A",,"A",52,"D",52,"D",.,"A",.,115861.465,103745.402,122697.687,.,.,.,113833.018,.,107005.503,99940.137,133360.325,.,.,.,.,.,94287.395,.,.,.,82024.402,115159.951,.,94219.787,.,105268.176,99913.691,.,122557.478,98622.373,.,.,100370.668,.,102794.952,.,.,107186.889,112638.791,101681.594,.,104722.693,121292.325,70.05997,30.19997,0,6.74999,5.54,0,2.07,0,0,0,0,0,3.66,1.02999,0,1.02999,0,6.26,0,3.86,39.86,0,6.27,17.77,0,0,0,9.92,1,"D",.,"A","7","D","08","40","D",.,"A",.,"A",.,"A","2","D"
147271,.,"A",.,"A",.,"A",49,"D",.,"D","1","1","D","01","D",.,"A","4","D",75000,"D","15","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",.,"A",0,"D",9730,"D",0,"D",61980,"D",75000,"D",47874.834,0,"D",5738,"D",6600,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3290,"D",0,"D",75000,"D",65,"D",.,"A",0.87256,"D",.,"A",.,"A",0,"D",152,"D",35,"D",196,"D",45,"D",.,"A","3","D",2,"D",0,"D",.,"A",,"A","2","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",13020,"D","01","03","D","1",.,"A",,"A","2","D","1","D","4","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","06","09","1998",.,"A","3","D",.,"A",2,"D","1","D",2,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,90866.109,87145.304,91125.616,.,97089.67,109770.587,94453.614,97712.429,96819.125,.,.,.,94451.011,.,100579.653,92180.097,98575.614,.,.,.,.,.,88399.449,.,.,.,109361.358,105800.996,.,107239.437,.,90818.07,96805.43,.,99018.492,97865.457,.,.,96266.633,.,92894.739,.,98.39001,11.98,0,5.58,0,0,0,0,0,0,0,0,3.91,0.69,0,0,0,0,0,1.8,86.41001,0,0,0,7.42,0,0,8.12,1,"D",.,"A","7","D","09","06","D",.,"A",.,"A",.,"A","2","D"
147272,.,"A",.,"A",.,"A",49,"D",.,"D","1","1","D","01","D",.,"A","4","D",75000,"D","15","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",.,"A",0,"D",9730,"D",0,"D",61980,"D",75000,"D",47874.834,0,"D",5738,"D",6600,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3290,"D",0,"D",75000,"D",65,"D",.,"A",0.873178,"D",.,"A",.,"A",0,"D",152,"D",35,"D",196,"D",45,"D",.,"A","3","D",2,"D",0,"D",.,"A",,"A","2","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",13020,"D","01","03","D","1",.,"A",,"A","2","D","1","D","4","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","13","09","1998",.,"A","3","D",.,"A",2,"D","2","D",2,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,90866.109,87145.304,91125.616,.,97089.67,109770.587,94453.614,97712.429,96819.125,.,.,.,94451.011,.,100579.653,92180.097,98575.614,.,.,.,.,.,88399.449,.,.,.,109361.358,105800.996,.,107239.437,.,90818.07,96805.43,.,99018.492,97865.457,.,.,96266.633,.,92894.739,.,121.65004,32.7,0,2.69,0,0,0,0,0,0,1.12963,3.91037,14.3,5.16,0,0,0,0,0,5.51,88.95004,11.78,0,0,3.2,0,0,10.08,1,"D",.,"A","7","D","09","06","D",.,"A",.,"A",.,"A","2","D"
147281,.,"A",.,"A",.,"A",54,"D",.,"D","1","4","D","05","D",.,"A","1","D",44000,"D","12","D",,"A","1","D",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",6157,"D",0,"D",34326,"D",44000,"D",44498.098,4000,"D",3366,"D",2400,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3517,"D",0,"D",44000,"D",48,"D",.,"A",0.6646426,"D",.,"A",.,"A",0,"D",174,"D",40,"D",217,"D",50,"D",.,"A","3","D",1,"D",0,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",9674,"D","01","11","D","4",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","05","09","1998",.,"A",,"A",.,"A",1,"D","1","D",2,.,"A",,"A",,"A",42,"D",.,"A",.,"A",87647.997,94006.778,86271.927,86790.057,79710.219,85760.667,.,93722.879,97601.296,99220.772,.,.,86749.142,.,89830.567,.,.,83983.21,.,.,98258.183,81745.129,.,79339.549,.,89562.595,97196.687,.,.,.,88278.865,.,.,.,.,.,93707.47,92799.771,91058.672,.,86973.363,.,.,.,36.05999,24.08999,0,1.1,8.81,6.02,1.03999,0,0,0.93,2.03,0,0,0.93,0,0,0,0,0,3.23,11.97,0,15.75,0,0,0,0,0,1,"D",.,"A","0","D","07","18","D",.,"A",.,"A",.,"A","2","D"
147282,.,"A",.,"A",.,"A",54,"D",.,"D","1","4","D","05","D",.,"A","1","D",44000,"D","12","D",,"A","1","D",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",6157,"D",0,"D",34326,"D",44000,"D",44498.098,4000,"D",3366,"D",2400,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",3517,"D",0,"D",44000,"D",48,"D",.,"A",0.6652171,"D",.,"A",.,"A",0,"D",174,"D",40,"D",217,"D",50,"D",.,"A","3","D",1,"D",0,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",9674,"D","01","11","D","4",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","12","09","1998",.,"A",,"A",.,"A",1,"D","2","D",2,.,"A",,"A",,"A",42,"D",.,"A",.,"A",87647.997,94006.778,86271.927,86790.057,79710.219,85760.667,.,93722.879,97601.296,99220.772,.,.,86749.142,.,89830.567,.,.,83983.21,.,.,98258.183,81745.129,.,79339.549,.,89562.595,97196.687,.,.,.,88278.865,.,.,.,.,.,93707.47,92799.771,91058.672,.,86973.363,.,.,.,38.34,15.19,0.62,1.56,3.89,0,0,0,0,0,0,0,4.99,1.31,0,0,0,0,2.82,0,23.15,0,15.75,0,0,0,0,6.72,1,"D",.,"A","0","D","07","18","D",.,"A",.,"A",.,"A","2","D"
