INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,INCLASS,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.8326102,0.8073161,0.7443196,0.6242739,0.8136722,0.9403888,0.6728295,03723761,56,D,,A,1,4,D,01,D,4,D,14,D,,A,1,D,,A,3,D,9,D,0,D,70000,D,38083.300,0,D,5355,D,0,D,,A,0,D,,A,0,D,0,D,70000,D,40,D,,A,0,D,326,D,75,D,435,D,100,D,,A,3,,2,D,,C,,A,,C,0,D,0,D,0,D,01,D,1,,A,2,D,1,D,3,2,D,,A,1,07,2017,,A,3,D,1,D,2,,A,,A,,A,52,D,,A,,85214.837,86333.557,74140.803,73676.965,73638.856,,74878.874,86872.677,68551.481,,,80010.970,,78365.579,,,76232.369,67053.470,,83651.975,72141.356,,67971.886,,78682.325,75917.287,,,,88744.866,,,,,,70347.500,67805.580,74696.203,,82953.965,,,,220.42000,119.95000,3.98000,4.49000,0.00000,17.23000,20.50000,0.00000,5.90000,0.00000,7.47000,14.19000,5.98000,8.48000,0.00000,0.69000,0.00000,9.80000,1.99000,19.25000,100.47000,0.00000,0.00000,0.00000,6.88000,0.00000,0.00000,9.51000,1,D,,A,7,D,09,24,D,372376,,A,,A,0,D,124508.0,D,215859,119209,71919,99734,115819,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,70000.0,D,70000,70000,70000,70000,70000,100,D,0.0,D,0,0,0,0,0,9544.4,D,3909,15352,879,24423,3159,201,,A,,,,,,100,201,,A,,A,,C,,B,,A,,A,S35A,15,0,D,141950,33857,1040,5311,42660,201,44964,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,
0.7471493,0.7472268,0.8313204,0.8261809,0.6270412,0.6470386,0.6775691,03723762,56,D,,A,1,4,D,01,D,4,D,14,D,,A,1,D,,A,3,D,9,D,0,D,70000,D,38083.300,0,D,5355,D,0,D,,A,0,D,,A,0,D,0,D,70000,D,40,D,,A,0,D,326,D,75,D,435,D,100,D,,A,3,,2,D,,C,,A,,C,0,D,0,D,0,D,01,D,1,,A,2,D,1,D,3,2,D,,A,1,07,2017,,A,3,D,2,D,2,,A,,A,,A,52,D,,A,,85214.837,86333.557,74140.803,73676.965,73638.856,,74878.874,86872.677,68551.481,,,80010.970,,78365.579,,,76232.369,67053.470,,83651.975,72141.356,,67971.886,,78682.325,75917.287,,,,88744.866,,,,,,70347.500,67805.580,74696.203,,82953.965,,,,99.64000,84.90000,4.50000,1.87000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.98000,8.00000,16.42000,11.43000,0.00000,0.00000,4.39000,1.79000,2.99000,27.53000,14.74000,0.00000,0.00000,0.00000,1.68000,0.00000,0.00000,0.11000,1,D,,A,7,D,09,24,D,372376,,A,,A,0,D,99751.8,D,76842,75272,120863,124780,101002,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,70000.0,D,70000,70000,70000,70000,70000,100,D,0.0,D,0,0,0,0,0,3401.2,D,4780,4255,842,6670,459,201,,A,,,,,,100,201,,A,,A,,C,,B,,A,,A,S35A,15,0,D,2062,1017,50021,48110,30543,201,26351,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,
0.2285521,0.2400378,0.2391455,0.2488116,0.2376942,0.2451348,0.3572011,03723771,52,D,,A,1,4,D,01,D,4,D,11,D,,A,1,D,,A,3,D,7,D,0,D,27252,D,39778.595,0,D,1928,D,0,D,,A,0,D,12,D,0,D,0,D,25200,D,32,D,,A,2052,D,696,D,160,D,870,D,200,D,,A,5,,2,D,,A,,A,,A,0,D,1,D,0,D,09,D,1,,A,1,D,1,D,1,2,D,,A,1,07,2017,,A,,A,1,D,2,,A,,A,,A,52,D,,A,87424.590,,79667.985,76047.326,,,82459.803,,,95710.959,,76729.482,,,77110.966,77146.701,97128.749,,76902.438,71240.373,87505.548,87681.035,99573.712,,,,75102.530,,85042.874,76680.965,76136.797,,,,,,73467.962,,,,46288.585,79111.971,,80500.683,171.04000,157.04000,22.97000,18.47000,0.00000,7.99000,17.16000,15.03000,0.00000,0.00000,7.38000,0.00000,14.35000,1.49000,0.91558,1.08442,0.00000,4.99000,0.00000,45.21000,14.00000,2.16000,0.00000,0.00000,19.96000,0.00000,15.78661,47.27000,1,D,,A,6,D,05,36,D,372377,6,D,,A,0,D,27252.0,D,27252,27252,27252,27252,27252,100,0.0,D,0,0,0,0,0,0,D,0,D,171.0,D,171,171,171,171,171,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,25200.0,D,25200,25200,25200,25200,25200,100,D,2052.0,D,2052,2052,2052,2052,2052,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,1,
0.2282459,0.2397316,0.2388393,0.2485054,0.2373881,0.2448286,0.3568950,03723772,52,D,,A,1,4,D,01,D,4,D,11,D,,A,1,D,,A,3,D,7,D,0,D,27252,D,39778.595,0,D,1928,D,0,D,,A,0,D,12,D,0,D,0,D,25200,D,32,D,,A,2052,D,696,D,160,D,870,D,200,D,,A,5,,2,D,,A,,A,,A,0,D,1,D,0,D,09,D,1,,A,1,D,1,D,1,2,D,,A,1,07,2017,,A,,A,2,D,2,,A,,A,,A,52,D,,A,87424.590,,79667.985,76047.326,,,82459.803,,,95710.959,,76729.482,,,77110.966,77146.701,97128.749,,76902.438,71240.373,87505.548,87681.035,99573.712,,,,75102.530,,85042.874,76680.965,76136.797,,,,,,73467.962,,,,46288.585,79111.971,,80500.683,67.37000,65.78000,0.00000,8.48000,0.00000,10.33000,3.29000,7.18000,0.00000,1.99000,6.38000,9.49000,2.99000,0.00000,3.59000,0.00000,0.00000,0.00000,0.00000,12.06000,1.59000,8.52000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,6,D,05,36,D,372377,6,D,,A,0,D,27252.0,D,27252,27252,27252,27252,27252,100,0.0,D,0,0,0,0,0,0,D,0,D,171.0,D,171,171,171,171,171,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,25200.0,D,25200,25200,25200,25200,25200,100,D,2052.0,D,2052,2052,2052,2052,2052,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,1,
0.7814880,0.7758638,0.7802604,0.7833481,0.7733108,0.7809612,0.8239336,03723781,47,D,51,D,1,1,D,01,D,5,D,16,D,13,D,,A,1,D,5,D,3,D,0,D,108000,D,57913.681,2000,D,8262,D,0,D,,A,0,D,,A,0,D,0,D,108000,D,,A,80,D,0,D,652,D,150,D,870,D,200,D,,A,1,,1,D,,A,11,D,,A,0,D,3,D,0,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,07,2017,1,D,2,D,1,D,2,,A,2,D,,A,0,D,26,D,,,,,,101984.239,98187.415,155757.500,,162934.365,,,,78630.797,100001.036,124031.308,132326.136,149945.361,,133093.829,91569.972,156554.977,,,103545.559,,153780.007,,,101560.142,92959.312,,126542.510,113865.999,,145877.212,,149968.764,94958.175,,,,114155.716,,136.00001,136.00001,17.33864,19.89799,11.62800,5.59625,4.35796,0.00000,0.00000,3.20698,0.00000,6.51892,10.31376,5.55063,11.88443,3.77608,2.89805,12.60786,4.07841,16.34605,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,09,48,D,372378,,A,,A,0,D,108000.0,D,108000,108000,108000,108000,108000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,108000.0,D,108000,108000,108000,108000,108000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,2,2
0.7819337,0.7763095,0.7807062,0.7837939,0.7737565,0.7814069,0.8243793,03723782,47,D,51,D,1,1,D,01,D,5,D,16,D,13,D,,A,1,D,5,D,3,D,0,D,108000,D,57913.681,2000,D,8262,D,0,D,,A,0,D,,A,0,D,0,D,108000,D,,A,80,D,0,D,652,D,150,D,870,D,200,D,,A,1,,1,D,,A,11,D,,A,0,D,3,D,0,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,07,2017,1,D,2,D,2,D,2,,A,2,D,,A,0,D,26,D,,,,,,101984.239,98187.415,155757.500,,162934.365,,,,78630.797,100001.036,124031.308,132326.136,149945.361,,133093.829,91569.972,156554.977,,,103545.559,,153780.007,,,101560.142,92959.312,,126542.510,113865.999,,145877.212,,149968.764,94958.175,,,,114155.716,,60.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,60.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,09,48,D,372378,,A,,A,0,D,108000.0,D,108000,108000,108000,108000,108000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,108000.0,D,108000,108000,108000,108000,108000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,2,2
0.6100539,0.6054930,0.6046443,0.6154764,0.6024149,0.6143515,0.6749404,03723791,33,D,32,D,1,4,D,01,D,1,D,16,D,15,D,1,D,,A,3,D,2,D,0,D,70000,D,69025.196,0,D,5355,D,0,D,,A,0,D,,A,0,D,0,D,70000,D,40,D,,A,0,D,435,D,100,D,870,D,200,D,,A,1,,1,D,,A,,A,,A,0,D,1,D,0,D,03,D,2,4,,2,D,4,D,3,1,D,2,,1,07,2017,,A,2,D,1,D,2,,A,,A,2,D,52,D,0,D,,,,,122914.575,148555.397,169077.969,142586.973,168191.672,,141422.390,111880.712,160654.550,,,107502.382,,158193.880,,,133289.130,143923.204,,129307.795,141105.473,,143456.970,,157789.654,146877.253,,,,101079.675,,,,,,160006.445,179216.948,182995.847,,130257.761,57.43000,57.43000,17.41000,4.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.90000,5.11000,4.01000,0.00000,0.00000,0.00000,8.19000,12.41000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,1,D,09,51,D,372379,,A,,A,0,D,70000.0,D,70000,70000,70000,70000,70000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,70000.0,D,70000,70000,70000,70000,70000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,2,2
0.6095227,0.6049617,0.6041130,0.6149451,0.6018837,0.6138202,0.6744091,03723792,33,D,32,D,1,4,D,01,D,1,D,16,D,15,D,1,D,,A,3,D,2,D,0,D,70000,D,69025.196,0,D,5355,D,0,D,,A,0,D,,A,0,D,0,D,70000,D,40,D,,A,0,D,435,D,100,D,870,D,200,D,,A,1,,1,D,,A,,A,,A,0,D,1,D,0,D,03,D,2,4,,2,D,4,D,3,1,D,2,,1,07,2017,,A,2,D,2,D,2,,A,,A,2,D,52,D,0,D,,,,,122914.575,148555.397,169077.969,142586.973,168191.672,,141422.390,111880.712,160654.550,,,107502.382,,158193.880,,,133289.130,143923.204,,129307.795,141105.473,,143456.970,,157789.654,146877.253,,,,101079.675,,,,,,160006.445,179216.948,182995.847,,130257.761,60.16000,60.16000,13.31000,13.79000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.09000,0.00000,2.32000,10.39000,2.05000,0.00000,0.00000,1.45000,0.00000,12.76000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,1,D,09,51,D,372379,,A,,A,0,D,70000.0,D,70000,70000,70000,70000,70000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,70000.0,D,70000,70000,70000,70000,70000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,2,2
0.7351703,0.7311370,0.7289364,0.7275889,0.7303966,0.7438405,0.0068796,03723801,71,D,,A,1,3,D,,B,8,D,12,D,,A,,A,,A,1,D,8,D,0,D,0,D,38243.195,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,0,D,0,D,0,D,0,D,,A,2,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,2,,A,2,D,1,D,2,1,D,,A,1,07,2017,1,D,,A,1,D,2,,A,1,D,,A,0,D,,A,63130.556,,,,88596.286,94342.216,,70062.046,,63318.055,82457.582,,,97413.039,,,90829.363,,68295.151,,,98718.104,81811.306,68594.018,,62281.576,76531.872,65004.268,51929.797,60600.970,,,,94599.626,,63499.857,82543.242,63348.456,,,,,,100930.326,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,07,39,A,372380,,A,,A,0,D,97043.3,T,99153,98577,93525,96201,97761,502,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,14450.4,D,16560,15984,10932,13608,15168,501,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,82593,82593,82593,82593,82593,501,82593,,A,,A,,A,,,,,,100,,D,A,A,A,T,A,3,3,2,
0.1473087,0.3860727,0.1622810,0.1220470,0.0865201,0.0443661,0.0084743,03723802,71,D,,A,1,4,D,,B,8,D,12,D,,A,,A,,A,1,D,8,D,0,D,0,D,36009.022,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,0,D,0,D,0,D,0,D,,A,2,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,2,,A,2,D,1,D,2,1,D,,A,1,08,2017,,A,,A,2,D,2,,A,1,D,,A,0,D,,A,63491.618,,,,79974.554,88107.893,,64985.855,,64523.005,74284.990,,,89073.553,,,87641.745,,61976.915,,,90799.538,70799.703,60675.333,,55594.500,72630.235,55775.231,53669.710,50825.862,,,,90016.748,,62689.544,82880.013,52923.698,,,,,,87133.607,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,04,39,A,372380,,A,,A,0,D,18985.4,D,6245,12630,15104,19688,41260,502,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,14368.8,D,6204,12420,14400,19164,19656,501,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,41,210,704,524,21604,501,4617,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,3,2,
