INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.3264712,0.3311266,0.3339616,0.3355167,0.3317738,0.3432818,0.4415471,04621551,68,D,70,D,1,2,D,01,D,8,D,15,D,15,D,,A,,A,2,D,1,D,0,D,37094,D,20546.504,0,D,0,D,0,D,,A,0,D,,A,37094,D,0,D,0,D,,A,,A,0,D,739,D,170,D,870,D,200,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,11,2020,2,D,1,D,1,D,2,,A,1,D,1,D,0,D,0,D,31680.777,50038.723,,,,,,35000.209,,,,45068.818,31680.777,,36060.852,,51101.616,45059.103,,,40250.383,,,32990.435,,40784.605,,,41813.192,31680.777,37786.790,,34941.292,35120.255,31680.777,36141.652,39373.833,,,,50829.497,,31680.777,41666.735,74.97000,74.97000,7.17000,3.10000,0.00000,0.00000,0.00000,11.27000,0.00000,6.39000,3.40000,0.00000,19.82000,5.25000,0.00000,0.00000,0.00000,0.00000,7.53000,11.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,12,D,462155,,A,,A,0,D,37094.0,D,37094,37094,37094,37094,37094,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,37094.0,D,37094,37094,37094,37094,37094,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,2
0.3266263,0.3312816,0.3341166,0.3356717,0.3319288,0.3434368,0.4417021,04621552,68,D,70,D,1,2,D,01,D,8,D,15,D,15,D,,A,,A,2,D,1,D,0,D,37094,D,20546.504,0,D,0,D,0,D,,A,0,D,,A,37094,D,0,D,0,D,,A,,A,0,D,739,D,170,D,870,D,200,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,11,2020,2,D,1,D,2,D,2,,A,1,D,1,D,0,D,0,D,31680.777,50038.723,,,,,,35000.209,,,,45068.818,31680.777,,36060.852,,51101.616,45059.103,,,40250.383,,,32990.435,,40784.605,,,41813.192,31680.777,37786.790,,34941.292,35120.255,31680.777,36141.652,39373.833,,,,50829.497,,31680.777,41666.735,85.31000,85.31000,12.45000,3.18000,0.00000,0.00000,0.00000,23.13000,0.00000,6.75000,3.40000,12.55000,0.00000,15.87000,0.00000,0.00000,0.00000,0.00000,0.00000,7.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,12,D,462155,,A,,A,0,D,37094.0,D,37094,37094,37094,37094,37094,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,37094.0,D,37094,37094,37094,37094,37094,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,2
0.4306279,0.3874916,0.4361939,0.4547428,0.4361190,0.4524679,0.4500888,04621561,28,D,,A,1,4,D,01,D,4,D,15,D,,A,1,D,,A,2,D,9,D,0,D,38000,D,45289.712,0,D,2907,D,0,D,,A,0,D,,A,0,D,0,D,38000,D,40,D,,A,0,D,457,D,105,D,522,D,120,D,,A,5,,2,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,,A,2,D,1,D,3,1,D,,A,1,11,2020,,A,2,D,1,D,2,,A,,A,,A,1,D,,A,,,79219.422,,,,84358.425,76838.447,89330.743,97065.421,92658.392,,106103.372,77405.430,91203.338,,,93856.244,,98267.957,,,93547.828,79812.540,,82660.006,77025.253,,97738.202,,78086.415,79990.354,,,,94772.873,,,,,,105800.394,71912.615,103306.947,176.80000,46.17000,4.48000,5.56000,0.00000,0.00000,0.00000,14.78000,0.00000,3.62000,4.00000,3.98000,0.00000,0.00000,3.58000,0.00000,3.89000,0.00000,2.28000,0.00000,130.63000,0.00000,0.00000,0.00000,0.00000,20.00000,0.00000,0.00000,1,D,,A,0,D,12,D,462156,4,D,,A,0,D,47120.0,D,48654,48396,48819,47687,42044,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,47120.0,D,48654,48396,48819,47687,42044,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,1,
0.6016601,0.4605101,0.5325676,0.8120692,0.3922475,0.6183189,0.4497470,04621562,28,D,,A,1,4,D,01,D,4,D,15,D,,A,1,D,,A,2,D,9,D,0,D,38000,D,45779.531,0,D,2907,D,0,D,,A,0,D,,A,0,D,0,D,38000,D,40,D,,A,0,D,457,D,105,D,522,D,120,D,,A,5,,2,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,,A,2,D,1,D,3,1,D,,A,1,11,2020,,A,2,D,2,D,2,,A,,A,,A,1,D,,A,,,79566.429,,,,88819.534,81472.849,99084.663,93995.361,83480.143,,102598.654,72411.959,77909.652,,,94993.294,,84023.159,,,84803.331,90691.163,,80597.143,80531.911,,102315.195,,71767.825,90813.659,,,,85562.127,,,,,,110819.580,91015.521,112592.607,70.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,70.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,12,D,462156,4,D,,A,0,D,71196.0,D,74099,43151,129264,59111,50355,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,71196.0,D,74099,43151,129264,59111,50355,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,1,
0.9563443,0.9422197,0.9338637,0.9813843,0.9575221,0.9293478,0.9298680,04621571,52,D,52,D,1,1,D,01,D,3,D,15,D,14,D,1,D,1,D,5,D,4,D,0,D,183500,D,103251.064,0,D,14038,D,5030,D,,A,0,D,,A,0,D,0,D,183500,D,40,D,40,D,0,D,1196,D,275,D,1522,D,350,D,,A,1,,5,D,,A,03,D,,A,0,D,0,D,0,D,03,D,2,1,,2,D,1,D,1,2,D,1,,1,11,2020,1,D,5,D,1,D,2,,A,,A,,A,52,D,52,D,,,218665.845,,198380.280,,,181860.205,218411.220,,205394.505,271770.427,,223831.377,,162992.251,187799.440,,,,254751.318,,,,,,184912.898,167412.770,215242.164,,169753.434,,,,165551.103,271156.086,192239.794,203886.836,243506.813,,163740.875,150580.219,194759.620,,528.82071,522.81998,27.13174,67.93239,30.25349,14.72285,21.45102,18.83024,15.13478,14.26318,12.20586,29.01409,37.66511,32.85538,15.12638,30.66572,27.84383,29.83606,22.56294,75.32492,6.00073,47.98000,0.00000,0.00000,36.20000,100.00000,264.00000,57.63000,1,D,,A,7,D,36,D,462157,,A,,A,0,D,242582.6,D,218067,247059,299250,221498,227039,201,0.0,D,0,0,0,0,0,5030,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,242582.6,D,218067,247059,299250,221498,227039,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.9289628,0.9300324,0.9477824,0.9269848,0.9235968,0.9148661,0.9306471,04621572,52,D,52,D,1,1,D,01,D,3,D,15,D,14,D,1,D,1,D,5,D,4,D,0,D,183500,D,103251.064,0,D,14038,D,5030,D,,A,0,D,,A,0,D,0,D,183500,D,40,D,40,D,0,D,1196,D,275,D,1522,D,350,D,,A,1,,5,D,,A,03,D,,A,0,D,0,D,0,D,03,D,2,1,,2,D,1,D,1,2,D,1,,1,11,2020,1,D,5,D,2,D,2,,A,,A,,A,52,D,52,D,,,218665.845,,198380.280,,,181860.205,218411.220,,205394.505,271770.427,,223831.377,,162992.251,187799.440,,,,254751.318,,,,,,184912.898,167412.770,215242.164,,169753.434,,,,165551.103,271156.086,192239.794,203886.836,243506.813,,163740.875,150580.219,194759.620,,416.20513,285.53004,16.03333,14.31442,7.96684,5.97067,11.73575,40.62000,0.00000,9.69247,3.43115,17.00637,13.38391,18.48652,0.00000,0.00000,3.89114,62.43605,0.00000,60.56142,130.67509,125.91491,0.00000,92.53000,0.00000,0.00000,0.00000,20.30808,1,D,,A,7,D,36,D,462157,,A,,A,0,D,214918.6,D,198277,214676,210626,232029,218985,201,0.0,D,0,0,0,0,0,5030,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,214918.6,D,198277,214676,210626,232029,218985,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.5028855,0.4998791,0.5044853,0.5103955,0.4982436,0.5137841,0.5925781,04621581,69,D,,A,1,2,D,01,D,1,D,13,D,,A,1,D,,A,1,D,8,D,0,D,56000,D,102295.755,62718,T,4284,D,0,D,,A,0,D,,A,0,D,0,D,56000,D,60,D,,A,0,D,487,D,112,D,544,D,125,D,,A,3,,1,D,400,D,,A,,A,0,D,0,D,1,D,03,D,4,,A,2,D,1,D,1,1,D,,A,1,11,2020,1,D,2,D,1,D,2,,A,,A,,A,52,D,,A,547287.327,237905.959,,218545.628,,547287.327,231882.379,,,232261.817,,,219856.300,,250586.327,,,547287.327,547287.327,253576.557,,547287.327,547287.327,547287.327,547287.327,221740.328,,,,224898.275,,547287.327,547287.327,234393.197,,,,,,243892.810,,,,547287.327,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,210.00000,0.00000,0.00000,1,D,,A,0,D,42,D,462158,,A,,A,0,D,56000.0,D,56000,56000,56000,56000,56000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,56000.0,D,56000,56000,56000,56000,56000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,3,2,
0.5021136,0.4991072,0.5037134,0.5096236,0.4974717,0.5130122,0.5918062,04621582,69,D,,A,1,2,D,01,D,1,D,13,D,,A,1,D,,A,1,D,8,D,0,D,56000,D,102295.755,62718,T,4284,D,0,D,,A,0,D,,A,0,D,0,D,56000,D,60,D,,A,0,D,487,D,112,D,544,D,125,D,,A,3,,1,D,400,D,,A,,A,0,D,0,D,1,D,03,D,4,,A,2,D,1,D,1,1,D,,A,1,11,2020,1,D,2,D,2,D,2,,A,,A,,A,52,D,,A,547287.327,237905.959,,218545.628,,547287.327,231882.379,,,232261.817,,,219856.300,,250586.327,,,547287.327,547287.327,253576.557,,547287.327,547287.327,547287.327,547287.327,221740.328,,,,224898.275,,547287.327,547287.327,234393.197,,,,,,243892.810,,,,547287.327,46.34527,46.34527,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.20726,0.00000,0.00000,3.42600,4.53185,7.95207,0.00000,5.64158,0.00000,0.00000,0.00000,17.58651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.65473,0.00000,1,D,,A,0,D,42,D,462158,,A,,A,0,D,56000.0,D,56000,56000,56000,56000,56000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,56000.0,D,56000,56000,56000,56000,56000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,3,2,
0.2365794,0.2509284,0.2530968,0.2558756,0.2506063,0.2578043,0.3737826,04621601,38,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,3,D,7,D,0,D,29668,D,20352.779,0,D,1607,D,0,D,,A,0,D,4,D,0,D,0,D,21000,D,40,D,,A,1208,D,304,D,70,D,435,D,100,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,02,D,2,,A,1,D,5,D,4,2,D,,A,1,12,2020,,A,1,D,1,D,2,,A,,A,,A,28,D,,A,,,39927.993,,48231.345,35703.974,,,,55925.696,,,,,,40874.825,56172.675,44792.835,,39607.992,,,,38134.437,37512.432,40175.236,39487.094,28781.278,,24867.296,60439.977,33168.112,,,39924.296,,54460.950,,,53487.874,36558.618,,42183.191,35744.092,111.00001,111.00001,5.05153,33.05839,6.23039,5.95771,0.00000,5.34912,0.00000,0.00000,3.42371,7.69272,0.00000,2.07294,6.44425,5.60066,3.88269,21.32476,0.00000,4.91114,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,33.03000,1,D,,A,2,D,53,D,462160,,A,,A,0,D,29668.0,D,29668,29668,29668,29668,29668,100,0.0,D,0,0,0,0,0,0,D,0,D,302.0,D,302,302,302,302,302,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,21000.0,D,21000,21000,21000,21000,21000,100,D,1208.0,D,1208,1208,1208,1208,1208,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49D,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,7460,D,7460,7460,7460,7460,7460,100,7460,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,9,5,2,
0.2367330,0.2510820,0.2532504,0.2560292,0.2507599,0.2579579,0.3739362,04621602,38,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,3,D,7,D,0,D,29668,D,20352.779,0,D,1607,D,0,D,,A,0,D,4,D,0,D,0,D,21000,D,40,D,,A,1208,D,304,D,70,D,435,D,100,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,02,D,2,,A,1,D,5,D,4,2,D,,A,1,12,2020,,A,1,D,2,D,2,,A,,A,,A,28,D,,A,,,39927.993,,48231.345,35703.974,,,,55925.696,,,,,,40874.825,56172.675,44792.835,,39607.992,,,,38134.437,37512.432,40175.236,39487.094,28781.278,,24867.296,60439.977,33168.112,,,39924.296,,54460.950,,,53487.874,36558.618,,42183.191,35744.092,74.55999,74.55999,5.42168,8.36064,0.00000,0.00000,5.03515,0.00000,0.00000,0.00000,0.00000,3.79959,3.36655,1.70968,0.00000,10.52880,9.99613,3.88860,4.32801,18.12516,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,2,D,53,D,462160,,A,,A,0,D,29668.0,D,29668,29668,29668,29668,29668,100,0.0,D,0,0,0,0,0,0,D,0,D,302.0,D,302,302,302,302,302,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,21000.0,D,21000,21000,21000,21000,21000,100,D,1208.0,D,1208,1208,1208,1208,1208,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49D,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,7460,D,7460,7460,7460,7460,7460,100,7460,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,9,5,2,
