INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.7081175,0.7014441,0.6954667,0.7008609,0.7023778,0.7100347,0.7635665,03912691,36,D,34,D,1,1,D,01,D,1,D,14,D,13,D,1,D,,A,2,D,1,D,0,D,92000,D,69370.214,0,D,7038,D,0,D,,A,0,D,,A,0,D,0,D,92000,D,48,D,,A,0,D,457,D,105,D,544,D,125,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,1,,2,D,1,D,2,1,D,2,,1,04,2018,1,D,2,D,1,D,2,,A,,A,2,D,52,D,0,D,132695.246,,,109028.627,97699.872,,150985.841,,151268.566,113030.219,,,145234.194,,,138997.370,,128286.867,,,201158.402,128877.958,150080.181,,196366.133,142439.045,141783.937,140352.419,121326.587,,,,136949.587,,146445.820,148492.078,125601.344,,,,,,120147.481,,252.70000,140.06000,0.00000,16.05000,26.07000,0.00000,0.00000,12.36000,0.00000,0.00000,0.89000,10.96000,0.00000,5.40000,3.79000,2.39000,0.00000,17.96000,8.57000,35.62000,112.64000,69.04000,0.00000,0.00000,0.00000,0.00000,0.00000,22.95000,1,D,,A,0,D,55,D,391269,,A,,A,0,D,92000.0,D,92000,92000,92000,92000,92000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,92000.0,D,92000,92000,92000,92000,92000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,2
0.7099307,0.7032573,0.6972799,0.7026741,0.7045516,0.7118479,0.7653797,03912692,36,D,34,D,1,1,D,01,D,1,D,14,D,13,D,1,D,,A,2,D,1,D,0,D,92000,D,69370.214,0,D,7038,D,0,D,,A,0,D,,A,0,D,0,D,92000,D,48,D,,A,0,D,457,D,105,D,544,D,125,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,1,,2,D,1,D,2,1,D,2,,1,04,2018,1,D,2,D,2,D,2,,A,,A,2,D,52,D,0,D,132695.246,,,109028.627,97699.872,,150985.841,,151268.566,113030.219,,,145234.194,,,138997.370,,128286.867,,,201158.402,128877.958,150080.181,,196366.133,142439.045,141783.937,140352.419,121326.587,,,,136949.587,,146445.820,148492.078,125601.344,,,,,,120147.481,,246.89000,137.73000,0.00000,7.17000,8.73000,17.15000,12.45000,8.12000,5.56000,0.00000,0.93000,3.68000,8.68000,7.93000,0.00000,5.65000,0.00000,12.29000,0.00000,39.39000,109.16000,19.76000,0.00000,31.52000,0.00000,0.00000,131.22148,3.43000,1,D,,A,0,D,55,D,391269,,A,,A,0,D,92000.0,D,92000,92000,92000,92000,92000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,92000.0,D,92000,92000,92000,92000,92000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,2
0.6374063,0.5727209,0.7121436,0.7215726,0.5582141,0.5964071,0.0485282,03912701,46,D,,A,1,4,D,01,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,0,D,20555.547,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,435,D,100,D,435,D,100,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,06,D,3,,A,2,D,4,D,4,2,D,,A,1,04,2018,,A,,A,1,D,2,,A,,A,,A,52,D,,A,42075.907,39627.297,,38960.452,,,34483.187,39010.713,43024.917,,46025.857,39835.891,42165.183,45566.150,37848.207,,,,35357.347,,42274.454,41278.423,42787.751,,,,,,38341.340,,,,38057.460,33145.136,,46511.910,,45584.771,42257.042,,,38087.712,,,40.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,15,A,391270,,A,,A,0,D,78380.4,D,68695,63411,97661,96017,66118,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,78380.4,D,68695,63411,97661,96017,66118,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49F,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,4,2,
0.5462606,0.4567246,0.5437256,0.5529268,0.6103381,0.5635297,0.0337477,03912702,46,D,,A,1,4,D,01,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,0,D,20555.547,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,435,D,100,D,435,D,100,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,06,D,3,,A,2,D,4,D,4,2,D,,A,1,04,2018,,A,,A,2,D,2,,A,,A,,A,52,D,,A,42075.907,39627.297,,38960.452,,,34483.187,39010.713,43024.917,,46025.857,39835.891,42165.183,45566.150,37848.207,,,,35357.347,,42274.454,41278.423,42787.751,,,,,,38341.340,,,,38057.460,33145.136,,46511.910,,45584.771,42257.042,,,38087.712,,,35.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,15,A,391270,,A,,A,0,D,62331.4,D,64257,72883,61572,63280,49665,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,62331.4,D,64257,72883,61572,63280,49665,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49F,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,4,2,
0.1899680,0.2043121,0.2142947,0.1789304,0.1690885,0.2092969,0.3310634,03912721,74,D,88,T,1,4,D,01,D,8,D,12,D,12,D,,A,,A,2,D,1,D,0,D,21708,D,54303.708,0,D,0,D,0,D,,A,0,D,12,D,17148,D,0,D,0,D,,A,,A,1560,D,435,D,100,D,435,D,100,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,4,,1,D,4,D,1,2,D,1,,1,04,2018,,A,,A,1,D,2,,A,1,D,1,D,0,D,0,D,,,,113435.746,134447.811,,128574.796,103303.797,,125209.969,,111736.009,89626.586,,,,108718.040,,,,,,112219.560,115290.096,108159.969,,133711.266,,,,118977.408,88577.319,106011.087,105842.368,94568.693,,128448.032,102376.795,99659.719,,,122415.521,,119496.278,88.71000,79.79000,7.99000,11.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.99000,15.17000,5.69000,0.00000,0.00000,0.00000,0.00000,0.00000,30.97000,8.92000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,36,D,391272,,A,,A,0,D,21360.0,D,22068,19164,19812,23604,22152,302,0.0,D,0,0,0,0,0,0,D,0,D,130.0,D,130,130,130,130,130,100,16800.0,D,17508,14604,15252,19044,17592,302,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,1560.0,D,1560,1560,1560,1560,1560,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,3000,D,3000,3000,3000,3000,3000,100,3000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,1,2,2
0.1996146,0.2132945,0.1925588,0.2172162,0.2303034,0.1885924,0.3314776,03912722,74,D,88,T,1,4,D,01,D,8,D,12,D,12,D,,A,,A,2,D,1,D,0,D,21708,D,54303.708,0,D,0,D,0,D,,A,0,D,12,D,17148,D,0,D,0,D,,A,,A,1560,D,435,D,100,D,435,D,100,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,4,,1,D,4,D,1,2,D,1,,1,04,2018,,A,,A,2,D,2,,A,1,D,1,D,0,D,0,D,,,,113435.746,134447.811,,128574.796,103303.797,,125209.969,,111736.009,89626.586,,,,108718.040,,,,,,112219.560,115290.096,108159.969,,133711.266,,,,118977.408,88577.319,106011.087,105842.368,94568.693,,128448.032,102376.795,99659.719,,,122415.521,,119496.278,60.69000,32.06000,7.94000,3.49000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.99000,0.00000,0.00000,0.00000,3.95000,0.00000,7.95000,0.00000,6.74000,28.63000,0.00000,0.00000,0.00000,6.21883,0.00000,15.26117,0.00000,1,D,,A,0,D,36,D,391272,,A,,A,0,D,22519.2,D,20400,24792,23268,21144,22992,302,0.0,D,0,0,0,0,0,0,D,0,D,130.0,D,130,130,130,130,130,100,17959.2,D,15840,20232,18708,16584,18432,302,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,1560.0,D,1560,1560,1560,1560,1560,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,3000,D,3000,3000,3000,3000,3000,100,3000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,1,2,2
0.9236144,0.9216401,0.9204994,0.9195189,0.9230197,0.9242513,0.9534723,03912741,41,D,41,D,1,1,D,01,D,2,D,13,D,16,D,1,D,4,D,4,D,3,D,0,D,200000,D,34857.099,0,D,15300,D,0,D,,A,0,D,,A,0,D,0,D,200000,D,40,D,40,D,0,D,1304,D,300,D,1522,D,350,D,,A,1,,2,D,2000,D,02,D,,A,0,D,2,D,0,D,01,D,1,1,,2,D,1,D,1,1,D,2,,1,04,2018,1,D,2,D,1,D,2,,A,,A,,A,52,D,52,D,57531.518,69466.201,,,53975.197,,,67647.953,,93765.337,,,64440.794,53773.157,79273.441,,72139.582,50818.558,63820.872,67573.178,74186.521,,,,61034.886,,90218.462,49442.209,78272.207,,,,,,69839.387,,,,63085.554,56275.674,,87366.586,,74715.898,127.23000,61.42000,0.00000,4.87000,0.00000,5.02530,5.37470,0.00000,0.00000,0.00000,5.99000,2.40000,0.00000,1.59000,0.00000,3.38000,1.62000,7.01000,0.00000,24.16000,65.81000,0.00000,22.66000,0.00000,0.00000,108.00000,4.99000,39.94000,1,D,,A,3,D,36,D,391274,,A,,A,0,D,200000.0,D,200000,200000,200000,200000,200000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,200000.0,D,200000,200000,200000,200000,200000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.9233485,0.9213742,0.9202335,0.9192530,0.9227538,0.9239854,0.9532064,03912742,41,D,41,D,1,1,D,01,D,2,D,13,D,16,D,1,D,4,D,4,D,3,D,0,D,200000,D,34857.099,0,D,15300,D,0,D,,A,0,D,,A,0,D,0,D,200000,D,40,D,40,D,0,D,1304,D,300,D,1522,D,350,D,,A,1,,2,D,2000,D,02,D,,A,0,D,2,D,0,D,01,D,1,1,,2,D,1,D,1,1,D,2,,1,04,2018,1,D,2,D,2,D,2,,A,,A,,A,52,D,52,D,57531.518,69466.201,,,53975.197,,,67647.953,,93765.337,,,64440.794,53773.157,79273.441,,72139.582,50818.558,63820.872,67573.178,74186.521,,,,61034.886,,90218.462,49442.209,78272.207,,,,,,69839.387,,,,63085.554,56275.674,,87366.586,,74715.898,309.09000,126.68000,5.49000,27.24000,0.00000,0.00000,0.00000,13.98000,0.00000,3.79000,16.33000,6.18000,4.99000,3.49000,0.00000,1.99000,9.66000,13.32000,1.99000,18.23000,182.41000,0.00000,33.99000,0.00000,113.99000,0.00000,19.98000,5.78000,1,D,,A,3,D,36,D,391274,,A,,A,0,D,200000.0,D,200000,200000,200000,200000,200000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,200000.0,D,200000,200000,200000,200000,200000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.3379290,0.3468578,0.3394899,0.3488708,0.3449506,0.3440685,0.4608037,03912761,44,D,,A,1,4,D,01,D,4,D,13,D,,A,5,D,,A,2,D,9,D,0,D,35992,D,43933.384,0,D,3357,D,0,D,,A,0,D,12,D,0,D,0,D,23880,D,40,D,,A,2112,D,326,D,75,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,05,D,4,,A,1,D,1,D,4,2,D,,A,1,04,2018,,A,2,D,1,D,2,,A,,A,,A,52,D,,A,78725.689,,75645.108,75071.865,79527.983,,73087.929,84072.565,72955.943,85535.652,96878.434,,,,88938.205,,84656.500,87103.894,84739.709,,,,,,80036.088,,,,70684.109,89110.314,,106249.681,,75740.947,84005.554,,,70798.061,,,65599.685,,92799.717,,114.08000,83.85000,2.05000,15.29000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.63000,4.12000,3.90000,3.61000,1.84000,5.15000,4.31000,9.90000,0.00000,29.05000,30.23000,0.00000,0.00000,21.04000,4.26000,32.06000,1.99000,2.87000,1,D,,A,7,D,49,D,391276,,A,,A,0,D,35992.0,D,35992,35992,35992,35992,35992,100,2482.0,D,2482,2482,2482,2482,2482,0,D,0,D,176.0,D,176,176,176,176,176,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,23880.0,D,23880,23880,23880,23880,23880,100,D,2112.0,D,2112,2112,2112,2112,2112,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,10000,D,10000,10000,10000,10000,10000,100,10000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,4,2,
0.3382642,0.3471929,0.3398250,0.3492059,0.3452857,0.3444036,0.4611388,03912762,44,D,,A,1,4,D,01,D,4,D,13,D,,A,5,D,,A,2,D,9,D,0,D,35992,D,43933.384,0,D,3357,D,0,D,,A,0,D,12,D,0,D,0,D,23880,D,40,D,,A,2112,D,326,D,75,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,05,D,4,,A,1,D,1,D,4,2,D,,A,1,04,2018,,A,2,D,2,D,2,,A,,A,,A,52,D,,A,78725.689,,75645.108,75071.865,79527.983,,73087.929,84072.565,72955.943,85535.652,96878.434,,,,88938.205,,84656.500,87103.894,84739.709,,,,,,80036.088,,,,70684.109,89110.314,,106249.681,,75740.947,84005.554,,,70798.061,,,65599.685,,92799.717,,126.91000,72.60000,1.03000,4.84000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.94000,0.00000,4.43000,4.11000,2.87000,2.06000,17.09000,21.19000,4.83000,8.21000,54.31000,0.00000,0.00000,7.52000,8.55000,0.00000,0.00000,16.54000,1,D,,A,7,D,49,D,391276,,A,,A,0,D,35992.0,D,35992,35992,35992,35992,35992,100,2482.0,D,2482,2482,2482,2482,2482,0,D,0,D,176.0,D,176,176,176,176,176,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,23880.0,D,23880,23880,23880,23880,23880,100,D,2112.0,D,2112,2112,2112,2112,2112,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,10000,D,10000,10000,10000,10000,10000,100,10000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,4,2,
