INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.6490134,0.6404688,0.6466303,0.6429024,0.6442501,0.6466922,0.7114175,04048931,47,D,47,D,1,1,D,01,D,2,D,12,D,12,D,1,D,1,D,2,D,1,D,0,D,82000,D,36177.973,0,D,6273,D,0,D,,A,0,D,,A,0,D,0,D,82000,D,48,D,45,D,0,D,609,D,140,D,652,D,150,D,,A,1,,2,D,,A,01,D,,A,0,D,0,D,0,D,04,D,1,1,,2,D,1,D,1,2,D,1,,1,10,2018,1,D,2,D,1,D,2,,A,,A,,A,52,D,52,D,91428.958,,73105.081,63365.863,,,67261.319,,,74808.637,,75969.323,,,90732.519,66329.912,77672.849,,79066.824,86448.969,77971.858,69661.996,90428.863,,,,54356.292,,68242.850,86417.888,81365.101,,,,,,51745.154,,,,62309.670,63228.093,,59621.373,42.62000,42.62000,0.00000,0.00000,0.00000,4.93000,0.00000,0.00000,0.00000,1.49000,0.00000,4.99000,12.67000,2.97000,0.69000,1.25000,4.68000,4.99000,1.98000,1.98000,0.00000,0.00000,0.00000,0.00000,15.93000,0.00000,0.00000,13.59000,1,D,,A,0,D,34,D,404893,,A,,A,0,D,82000.0,D,82000,82000,82000,82000,82000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,82000.0,D,82000,82000,82000,82000,82000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.6501990,0.6416544,0.6478158,0.6440879,0.6454356,0.6478777,0.7133522,04048932,47,D,47,D,1,1,D,01,D,2,D,12,D,12,D,1,D,1,D,2,D,1,D,0,D,82000,D,36177.973,0,D,6273,D,0,D,,A,0,D,,A,0,D,0,D,82000,D,48,D,45,D,0,D,609,D,140,D,652,D,150,D,,A,1,,2,D,,A,01,D,,A,0,D,0,D,0,D,04,D,1,1,,2,D,1,D,1,2,D,1,,1,10,2018,1,D,2,D,2,D,2,,A,,A,,A,52,D,52,D,91428.958,,73105.081,63365.863,,,67261.319,,,74808.637,,75969.323,,,90732.519,66329.912,77672.849,,79066.824,86448.969,77971.858,69661.996,90428.863,,,,54356.292,,68242.850,86417.888,81365.101,,,,,,51745.154,,,,62309.670,63228.093,,59621.373,19.35000,19.35000,0.00000,2.68000,0.00000,0.00000,2.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.99000,0.00000,2.69000,5.00000,3.00000,0.00000,0.00000,0.00000,0.00000,7.49000,4.62000,0.00000,0.00000,0.00000,1,D,,A,0,D,34,D,404893,,A,,A,0,D,82000.0,D,82000,82000,82000,82000,82000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,82000.0,D,82000,82000,82000,82000,82000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,4,2,2
0.3269308,0.3261147,0.3460385,0.3331021,0.3553918,0.3288509,0.4451270,04048951,25,D,26,D,1,2,D,01,D,2,D,14,D,11,D,1,D,2,D,4,D,2,D,0,D,34000,D,34681.852,0,D,2601,D,0,D,,A,0,D,,A,0,D,0,D,34000,D,2,D,40,D,0,D,391,D,90,D,435,D,100,D,,A,1,,2,D,,A,15,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,10,2018,1,D,2,D,1,D,2,,A,,A,,A,8,D,52,D,,,,,,66663.035,62257.988,50887.122,,69239.123,,,,58870.529,56555.437,41431.131,76202.852,76654.000,,66933.850,98672.711,69514.828,,,118279.316,,51199.246,,,105005.864,74661.218,,65256.222,106568.655,,95985.604,,47218.133,122081.483,,,,63021.276,,71.49000,31.30000,0.00000,1.84000,0.00000,5.18000,0.00000,0.00000,0.00000,0.00000,2.89000,0.00000,7.69000,1.87000,0.00000,0.00000,0.00000,4.52000,0.00000,7.31000,40.19000,0.00000,0.00000,17.98000,0.00000,0.00000,0.00000,0.00000,1,D,,A,1,D,48,D,404895,,A,,A,0,D,34452.8,D,34039,35633,34466,34632,33494,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,34452.8,D,34039,35633,34466,34632,33494,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,2,2
0.3275272,0.3330558,0.3337055,0.3515489,0.3446437,0.3407248,0.4448636,04048952,25,D,26,D,1,2,D,01,D,2,D,14,D,11,D,1,D,2,D,4,D,2,D,0,D,34000,D,34681.852,0,D,2601,D,0,D,,A,0,D,,A,0,D,0,D,34000,D,2,D,40,D,0,D,391,D,90,D,435,D,100,D,,A,1,,2,D,,A,15,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,10,2018,1,D,2,D,2,D,2,,A,,A,,A,8,D,52,D,,,,,,66663.035,62257.988,50887.122,,69239.123,,,,58870.529,56555.437,41431.131,76202.852,76654.000,,66933.850,98672.711,69514.828,,,118279.316,,51199.246,,,105005.864,74661.218,,65256.222,106568.655,,95985.604,,47218.133,122081.483,,,,63021.276,,63.73000,12.95000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.05000,0.00000,0.00000,0.00000,0.00000,0.00000,6.84000,4.06000,0.00000,0.00000,50.78000,0.00000,0.00000,0.00000,9.60000,0.00000,31.01000,0.00000,1,D,,A,1,D,48,D,404895,,A,,A,0,D,34546.0,D,35012,34535,35775,33343,34065,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,34546.0,D,35012,34535,35775,33343,34065,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,2,2
0.9636304,0.9637437,0.9624082,0.9620753,0.9624002,0.9641274,0.7195313,04048961,83,D,88,T,1,2,D,01,D,1,D,16,D,15,D,5,D,,A,2,D,1,D,0,D,83136,D,59451.042,0,D,4590,D,0,D,,A,0,D,,A,23136,D,0,D,60000,D,50,D,,A,0,D,544,D,125,D,652,D,150,D,,A,1,,1,D,150,D,,A,,A,0,D,0,D,2,D,03,D,1,1,,2,D,1,D,3,1,D,2,,1,10,2018,1,D,1,D,1,D,2,,A,,A,1,D,12,D,0,D,140702.687,125539.633,,,,,,82347.526,,,,94556.605,85674.067,,129639.642,,124629.376,88253.130,,,95889.565,,,128843.392,,96652.809,,,110727.902,130966.329,126922.093,,141187.357,124877.215,122056.535,127509.517,123653.910,,,,96157.066,,143433.563,126560.900,61.00000,61.00000,0.00000,6.00000,0.00000,0.00000,0.00000,13.00000,16.00000,8.00000,2.00000,7.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000,0.00000,0.00000,0.00000,13.00000,0.00000,0.00000,0.00000,11.77000,1,D,,A,0,D,12,D,404896,,A,,A,0,D,272643.4,T,272643,272643,272643,272643,272643,201,14510.1,T,14510,14510,14510,14510,14510,0,D,0,D,,A,,,,,,100,23136.0,D,23136,23136,23136,23136,23136,100,0.0,D,0,0,0,0,0,100,60000.0,D,60000,60000,60000,60000,60000,100,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,16,0,D,189507,189507,189507,189507,189507,201,189507,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,T,A,A,A,A,A,5,1,2,2
0.7642847,0.8592583,0.7434710,0.7032661,0.6951965,0.7465387,0.7199829,04048962,83,D,88,T,1,2,D,01,D,1,D,16,D,15,D,5,D,,A,2,D,1,D,0,D,83136,D,59451.042,0,D,4590,D,0,D,,A,0,D,,A,23136,D,0,D,60000,D,50,D,,A,0,D,544,D,125,D,652,D,150,D,,A,1,,1,D,150,D,,A,,A,0,D,0,D,2,D,03,D,1,1,,2,D,1,D,3,1,D,2,,1,10,2018,1,D,1,D,2,D,2,,A,,A,1,D,12,D,0,D,140702.687,125539.633,,,,,,82347.526,,,,94556.605,85674.067,,129639.642,,124629.376,88253.130,,,95889.565,,,128843.392,,96652.809,,,110727.902,130966.329,126922.093,,141187.357,124877.215,122056.535,127509.517,123653.910,,,,96157.066,,143433.563,126560.900,75.49000,75.49000,6.00000,8.00000,0.00000,0.00000,0.00000,13.00000,0.00000,4.00000,2.00000,7.00000,6.00000,7.00000,0.00000,0.00000,3.00000,7.49000,0.00000,12.00000,0.00000,8.56000,0.00000,13.00000,0.00000,0.00000,0.00000,50.29000,1,D,,A,0,D,12,D,404896,,A,,A,0,D,108387.8,D,104414,91234,95492,104339,146460,201,14510.1,T,14510,14510,14510,14510,14510,0,D,0,D,,A,,,,,,100,23136.0,D,23136,23136,23136,23136,23136,100,0.0,D,0,0,0,0,0,100,60000.0,D,60000,60000,60000,60000,60000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,16,0,D,21278,8098,12356,21203,63324,201,25252,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,1,2,2
0.3449917,0.3502874,0.3632374,0.3539580,0.3597574,0.3498428,0.4622849,04048971,66,D,,A,1,1,D,01,D,1,D,13,D,,A,4,D,,A,1,D,8,D,0,D,36563,D,30431.402,0,D,1242,D,0,D,,A,0,D,,A,20328,D,0,D,16235,D,40,D,,A,0,D,544,D,125,D,652,D,150,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,1,D,04,D,1,,A,2,D,1,D,2,2,D,,A,1,10,2018,1,D,1,D,1,D,2,,A,,A,,A,43,D,,A,54618.481,63935.932,55138.439,,58052.434,,60009.461,58837.211,,,64284.630,,,49424.823,,60904.739,,,56234.801,51009.738,57778.991,,54989.761,58595.971,61288.015,56135.795,57156.810,,,,52204.897,,58303.249,64519.301,57584.362,,,,,,56598.488,,,,136.39000,122.54000,1.49000,6.77000,10.60000,0.00000,0.00000,7.49000,0.00000,2.99000,12.45000,5.99000,0.00000,0.00000,0.00000,0.00000,14.00000,56.47000,1.79000,2.50000,13.85000,0.00000,0.00000,0.00000,11.76000,0.00000,0.00000,17.40000,1,D,,A,0,D,18,D,404897,,A,,A,0,D,36563.0,D,36563,36563,36563,36563,36563,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,20328.0,D,20328,20328,20328,20328,20328,100,0.0,D,0,0,0,0,0,100,16235.0,D,16235,16235,16235,16235,16235,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,2,
0.3447606,0.3500562,0.3630062,0.3537268,0.3595263,0.3496116,0.4620538,04048972,66,D,,A,1,1,D,01,D,1,D,13,D,,A,4,D,,A,1,D,8,D,0,D,36563,D,30431.402,0,D,1242,D,0,D,,A,0,D,,A,20328,D,0,D,16235,D,40,D,,A,0,D,544,D,125,D,652,D,150,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,1,D,04,D,1,,A,2,D,1,D,2,2,D,,A,1,10,2018,1,D,1,D,2,D,2,,A,,A,,A,43,D,,A,54618.481,63935.932,55138.439,,58052.434,,60009.461,58837.211,,,64284.630,,,49424.823,,60904.739,,,56234.801,51009.738,57778.991,,54989.761,58595.971,61288.015,56135.795,57156.810,,,,52204.897,,58303.249,64519.301,57584.362,,,,,,56598.488,,,,96.90000,73.20000,1.00000,14.63000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.77000,4.99000,0.00000,1.28000,0.00000,0.00000,16.97000,23.60000,0.00000,4.96000,23.70000,0.00000,0.00000,0.00000,12.87000,0.00000,0.00000,9.61000,1,D,,A,0,D,18,D,404897,,A,,A,0,D,36563.0,D,36563,36563,36563,36563,36563,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,20328.0,D,20328,20328,20328,20328,20328,100,0.0,D,0,0,0,0,0,100,16235.0,D,16235,16235,16235,16235,16235,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,2,
0.9601767,0.9575667,0.9576209,0.9556044,0.9585748,0.9577676,0.9804351,04049001,44,D,50,D,1,1,D,01,D,6,D,15,D,16,D,,A,3,D,5,D,3,D,0,D,342776,T,22081.329,0,D,11014,D,0,D,,A,0,D,,A,0,D,0,D,342776,T,,A,50,D,0,D,130,D,30,D,348,D,80,D,,A,1,,2,D,,C,03,D,,A,0,D,3,D,0,D,,A,2,1,,2,D,6,D,3,2,D,1,,1,10,2018,1,D,3,D,1,D,2,,A,2,D,,A,0,D,52,D,25373.627,25373.627,,,,66810.261,,49670.475,42981.929,29639.171,,,,,,67631.154,,,,57176.938,45356.589,,40033.612,,48888.217,44906.487,,,53762.436,,,25373.627,,51555.803,,,42374.078,41986.370,35518.038,,60963.738,25373.627,50483.294,25373.627,181.71000,154.51000,9.13000,11.40000,0.00000,0.00000,0.00000,28.19000,1.66000,3.11000,2.45000,24.07000,17.93000,0.00000,14.18932,20.49068,3.07000,2.73000,0.00000,16.09000,27.20000,0.00000,0.00000,0.00000,22.41000,49.05000,2.17000,36.83990,1,D,,A,4,D,01,T,404900,6,D,6,D,0,D,259240.5,T,258151,261233,258405,259802,258613,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,259240.5,T,258151,261233,258405,259802,258613,301,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,4,1,1
0.9581390,0.9571557,0.9555832,0.9554367,0.9577101,0.9579353,0.9806029,04049002,44,D,50,D,1,1,D,01,D,6,D,15,D,16,D,,A,3,D,5,D,3,D,0,D,342776,T,22081.329,0,D,11014,D,0,D,,A,0,D,,A,0,D,0,D,342776,T,,A,50,D,0,D,130,D,30,D,348,D,80,D,,A,1,,2,D,,C,03,D,,A,0,D,3,D,0,D,,A,2,1,,2,D,6,D,3,2,D,1,,1,10,2018,1,D,3,D,2,D,2,,A,2,D,,A,0,D,52,D,25373.627,25373.627,,,,66810.261,,49670.475,42981.929,29639.171,,,,,,67631.154,,,,57176.938,45356.589,,40033.612,,48888.217,44906.487,,,53762.436,,,25373.627,,51555.803,,,42374.078,41986.370,35518.038,,60963.738,25373.627,50483.294,25373.627,851.83000,801.44000,33.86000,22.30000,55.04000,48.32000,3.93000,51.00000,54.88000,3.73000,5.09000,96.98000,24.85000,18.87000,27.25466,1.74534,13.48000,228.72000,14.54000,96.85000,50.39000,167.77000,0.00000,0.00000,27.85000,0.00000,18.52000,66.40000,1,D,,A,4,D,01,T,404900,6,D,6,D,0,D,258349.3,T,258188,259582,257636,257927,258415,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,258349.3,T,258188,259582,257636,257927,258415,301,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,4,1,1
